Moyenne_Generale,Note_Maths,Note_Physique,Note_Francais,Filiere_Bac,Recommendation
17.51,14.65,14.87,19.22,PC,ENSA / ENSAM
12.01,19.81,14.99,18.87,SM-B,ENSA / ENSAM
12.36,18.98,14.1,6.97,SM-A,ENSA / ENSAM
11.12,15.56,13.71,13.62,SM-A,ENSA / ENSAM
12.14,12.27,11.19,14.57,SVT,FST
17.26,8.36,12.23,11.68,Eco-Gestion,ENCG
10.0,14.4,17.91,9.33,PC,ENSA / ENSAM
16.83,11.16,10.64,11.46,Eco-Gestion,ENCG
14.01,14.7,8.84,11.33,SVT,FST
10.0,9.87,14.28,11.52,SVT,Faculté (Licence Fondamentale)
10.0,13.38,16.93,12.78,SVT,ENSA / ENSAM
18.03,18.22,18.34,16.08,SM-A,Medecine / Pharmacie
10.16,11.95,12.93,9.14,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,9.66,9.19,19.72,Eco-Gestion,Faculté (Licence Fondamentale)
16.41,9.56,8.52,9.87,Eco-Gestion,ENCG
14.02,17.12,15.29,16.26,SM-B,CPGE (Prépas)
10.19,15.34,13.24,10.58,PC,ENSA / ENSAM
13.65,18.73,14.59,16.56,SM-A,ENSA / ENSAM
10.0,13.7,14.06,12.09,PC,ENSA / ENSAM
16.3,14.06,13.87,13.6,SM-A,ENSA / ENSAM
16.18,13.53,6.23,12.95,Eco-Gestion,ENCG
14.6,14.83,13.7,13.4,SM-B,ENSA / ENSAM
14.08,14.9,17.76,16.56,SM-B,ENSA / ENSAM
18.28,15.55,9.52,10.11,Eco-Gestion,CPGE (Prépas)
13.0,14.16,15.7,11.17,PC,ENSA / ENSAM
10.0,8.47,10.88,11.79,SVT,Faculté (Licence Fondamentale)
14.35,14.07,13.0,16.3,Eco-Gestion,ENCG
19.26,13.48,15.8,10.82,SM-A,ENSA / ENSAM
10.0,11.56,15.14,16.21,PC,Faculté (Licence Fondamentale)
11.92,10.88,15.7,14.65,SVT,FST
14.25,15.21,17.32,14.34,SM-B,CPGE (Prépas)
12.84,14.13,18.72,13.78,SM-A,ENSA / ENSAM
10.05,16.04,13.29,16.54,SM-B,ENSA / ENSAM
16.37,17.03,16.26,11.48,SM-A,Medecine / Pharmacie
19.96,14.5,13.74,10.99,SVT,ENSA / ENSAM
13.59,13.17,16.16,8.28,SM-A,ENSA / ENSAM
10.29,12.46,9.66,16.66,SVT,Faculté (Licence Fondamentale)
10.0,10.82,14.32,11.46,Eco-Gestion,Faculté (Licence Fondamentale)
13.77,15.0,17.18,9.8,Eco-Gestion,ENSA / ENSAM
16.31,16.58,20.0,13.2,SM-A,Medecine / Pharmacie
14.43,14.12,17.58,13.12,PC,ENSA / ENSAM
12.99,12.59,17.26,6.99,SM-B,FST
11.23,15.17,17.41,11.93,SM-A,ENSA / ENSAM
10.0,14.61,16.76,10.45,SM-A,ENSA / ENSAM
15.5,13.56,15.55,12.45,SM-B,ENSA / ENSAM
15.74,13.51,16.27,14.39,SM-A,ENSA / ENSAM
10.0,15.28,14.42,14.41,SM-B,ENSA / ENSAM
17.77,15.57,10.15,14.96,SVT,CPGE (Prépas)
14.72,15.13,17.76,13.12,PC,CPGE (Prépas)
17.2,9.26,9.61,14.03,Eco-Gestion,ENCG
10.0,17.46,9.55,15.41,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,13.34,16.22,17.55,PC,ENSA / ENSAM
12.55,17.53,12.52,11.28,SM-B,FST
14.51,16.51,16.28,9.55,PC,CPGE (Prépas)
18.39,14.36,16.41,15.98,SM-B,ENSA / ENSAM
15.12,14.04,20.0,15.47,PC,ENSA / ENSAM
12.27,15.51,13.37,10.08,SM-A,ENSA / ENSAM
10.0,16.67,14.02,18.02,SM-A,ENSA / ENSAM
16.69,16.93,17.27,9.46,PC,Medecine / Pharmacie
10.11,9.98,14.77,11.31,SVT,Faculté (Licence Fondamentale)
17.89,16.24,16.95,13.16,PC,Medecine / Pharmacie
12.15,9.89,10.72,13.57,Eco-Gestion,ENCG
17.77,18.07,13.23,12.21,SM-A,CPGE (Prépas)
15.04,14.09,17.33,10.27,PC,ENSA / ENSAM
12.59,8.05,13.02,8.45,Eco-Gestion,ENCG
11.44,18.57,14.69,8.36,SM-A,ENSA / ENSAM
11.98,10.56,12.14,11.4,SVT,FST
14.28,12.06,13.22,12.39,SVT,FST
13.23,9.19,10.1,17.24,Eco-Gestion,ENCG
11.22,17.37,11.96,16.27,PC,FST
12.5,16.5,16.85,11.35,SM-A,ENSA / ENSAM
13.24,6.7,12.75,10.18,SVT,FST
10.0,7.84,7.04,14.8,Eco-Gestion,Faculté (Licence Fondamentale)
14.37,16.28,16.56,15.01,SM-B,CPGE (Prépas)
10.06,13.16,15.86,11.47,PC,ENSA / ENSAM
10.0,15.58,13.07,14.17,SM-B,ENSA / ENSAM
10.0,16.15,14.37,16.84,PC,ENSA / ENSAM
10.0,16.23,15.48,7.9,SM-A,ENSA / ENSAM
10.0,6.58,11.43,15.37,Eco-Gestion,Faculté (Licence Fondamentale)
10.87,14.66,18.34,15.2,SM-A,ENSA / ENSAM
18.86,14.18,15.06,20.0,SM-B,ENSA / ENSAM
11.42,8.27,12.58,12.03,Eco-Gestion,FST
13.53,17.41,17.53,11.84,SM-A,ENSA / ENSAM
14.2,18.24,19.44,13.2,SM-A,CPGE (Prépas)
13.39,17.57,13.82,13.06,SM-A,ENSA / ENSAM
12.77,15.65,16.59,16.61,SM-B,ENSA / ENSAM
10.0,15.78,18.07,17.59,SM-A,ENSA / ENSAM
17.35,14.54,9.45,11.16,SVT,FST
18.42,12.38,17.9,9.36,PC,FST
10.0,14.03,7.76,15.47,SVT,Faculté (Licence Fondamentale)
10.0,16.03,17.67,16.42,SM-B,ENSA / ENSAM
12.16,18.87,17.92,13.43,SM-B,ENSA / ENSAM
10.11,13.68,12.89,6.74,SM-A,Faculté (Licence Fondamentale)
14.52,8.75,11.21,11.32,Eco-Gestion,ENCG
10.82,11.46,12.48,12.09,SVT,Faculté (Licence Fondamentale)
19.5,13.76,14.89,10.3,SM-B,ENSA / ENSAM
16.57,13.46,18.69,12.19,PC,Medecine / Pharmacie
13.64,19.54,17.86,11.26,SM-B,ENSA / ENSAM
16.08,8.67,10.84,16.46,SVT,FST
16.32,13.02,17.82,16.63,PC,ENSA / ENSAM
11.31,12.45,14.65,15.14,PC,FST
10.55,16.3,13.63,11.94,SM-A,ENSA / ENSAM
13.23,11.79,6.31,15.3,Eco-Gestion,ENCG
15.58,13.04,10.43,12.93,PC,FST
13.42,14.52,18.38,11.24,SM-A,ENSA / ENSAM
10.0,8.71,12.52,11.02,Eco-Gestion,Faculté (Licence Fondamentale)
10.59,14.44,16.02,9.88,SM-A,ENSA / ENSAM
12.78,13.09,18.45,14.74,SM-B,ENSA / ENSAM
12.77,15.47,14.99,14.52,SM-B,ENSA / ENSAM
18.92,14.92,8.73,14.1,Eco-Gestion,ENCG
10.0,14.99,14.62,13.48,SM-A,ENSA / ENSAM
14.52,11.98,13.21,14.46,SVT,FST
17.47,12.98,12.28,11.89,SM-A,FST
19.81,17.49,8.45,12.38,SVT,CPGE (Prépas)
11.79,12.93,14.89,13.53,PC,FST
14.47,16.8,16.91,10.59,PC,CPGE (Prépas)
14.71,19.51,16.16,11.27,PC,CPGE (Prépas)
13.59,18.82,14.06,17.99,SM-A,ENSA / ENSAM
12.7,9.39,15.29,13.6,Eco-Gestion,ENCG
14.31,15.87,16.71,9.6,SVT,CPGE (Prépas)
10.0,18.55,12.18,9.86,SM-A,Faculté (Licence Fondamentale)
15.05,12.39,17.01,13.1,PC,FST
13.38,15.67,15.29,14.77,SM-B,ENSA / ENSAM
12.33,15.34,18.19,18.46,PC,ENSA / ENSAM
19.14,11.94,9.44,14.84,Eco-Gestion,ENCG
10.98,11.71,14.64,16.0,PC,Faculté (Licence Fondamentale)
11.79,11.63,7.38,8.53,Eco-Gestion,FST
18.97,16.1,17.28,16.39,SM-B,Medecine / Pharmacie
10.5,12.33,17.03,12.69,SVT,Faculté (Licence Fondamentale)
11.35,13.72,10.87,11.66,PC,FST
12.56,14.56,15.69,10.51,Eco-Gestion,ENSA / ENSAM
15.52,13.39,14.14,13.03,SVT,ENSA / ENSAM
13.62,11.43,15.49,15.28,SM-B,FST
10.0,9.16,10.24,9.53,Eco-Gestion,Faculté (Licence Fondamentale)
11.4,10.86,17.05,12.99,SM-B,FST
11.18,19.2,16.71,11.94,SM-B,ENSA / ENSAM
12.77,15.83,16.13,15.9,SM-A,ENSA / ENSAM
14.28,12.97,14.32,12.11,SVT,FST
14.25,14.01,14.87,13.62,SM-A,ENSA / ENSAM
10.0,13.6,12.33,14.34,SM-B,Faculté (Licence Fondamentale)
16.19,10.78,10.5,11.92,Eco-Gestion,ENCG
13.76,17.04,18.52,9.29,PC,ENSA / ENSAM
17.15,14.93,16.7,14.81,SM-A,ENSA / ENSAM
14.33,13.92,13.72,10.95,PC,ENSA / ENSAM
16.3,14.97,15.55,18.11,SM-A,ENSA / ENSAM
14.4,9.94,7.92,12.67,SVT,FST
17.04,16.06,13.11,17.36,PC,CPGE (Prépas)
14.57,15.66,13.53,8.2,SM-A,CPGE (Prépas)
12.71,17.41,14.66,13.51,SM-B,ENSA / ENSAM
19.82,9.3,10.04,11.54,Eco-Gestion,ENCG
15.67,15.8,13.66,8.4,SM-B,CPGE (Prépas)
14.72,20.0,6.91,13.54,SVT,CPGE (Prépas)
10.0,6.68,5.01,13.29,SVT,Faculté (Licence Fondamentale)
10.0,16.35,17.52,14.2,SM-A,ENSA / ENSAM
13.88,15.7,13.1,17.5,SM-B,ENSA / ENSAM
13.44,15.86,13.51,13.11,PC,ENSA / ENSAM
11.16,16.29,14.31,15.32,SM-A,ENSA / ENSAM
13.42,17.66,14.62,12.16,SM-A,ENSA / ENSAM
17.77,19.0,16.87,13.22,SM-B,Medecine / Pharmacie
15.09,7.11,12.03,15.09,Eco-Gestion,ENCG
10.0,3.74,11.76,11.75,SVT,Faculté (Licence Fondamentale)
12.67,13.56,14.19,12.56,PC,ENSA / ENSAM
10.59,16.18,9.66,15.9,SVT,Faculté (Licence Fondamentale)
11.84,14.39,16.52,13.0,SM-A,ENSA / ENSAM
11.76,13.06,11.02,14.92,Eco-Gestion,FST
11.57,10.86,12.16,14.25,SM-A,FST
10.0,5.87,9.41,12.84,Eco-Gestion,Faculté (Licence Fondamentale)
12.62,14.34,13.62,13.81,SM-B,ENSA / ENSAM
11.32,15.03,8.12,11.27,SVT,FST
10.0,14.54,10.16,13.43,SM-A,Faculté (Licence Fondamentale)
19.16,14.8,14.05,10.39,Eco-Gestion,ENSA / ENSAM
16.27,8.24,11.06,15.49,Eco-Gestion,ENCG
11.87,16.31,15.58,16.43,SM-A,ENSA / ENSAM
13.06,9.78,10.34,17.9,SVT,FST
10.0,15.61,12.47,10.99,SM-B,Faculté (Licence Fondamentale)
18.09,14.12,15.71,10.31,SM-B,ENSA / ENSAM
18.69,14.54,14.53,6.63,PC,ENSA / ENSAM
13.47,14.61,16.3,14.55,PC,ENSA / ENSAM
16.07,12.65,14.44,14.2,PC,FST
13.53,16.56,11.03,14.27,SVT,FST
10.0,13.36,12.91,15.9,PC,Faculté (Licence Fondamentale)
11.76,15.82,17.42,12.45,PC,ENSA / ENSAM
13.4,13.79,13.68,17.86,SVT,ENSA / ENSAM
11.64,15.98,16.13,9.08,PC,ENSA / ENSAM
12.34,16.31,15.51,15.13,SM-B,ENSA / ENSAM
12.73,18.71,14.81,19.3,SM-A,ENSA / ENSAM
12.76,12.48,15.84,10.6,SM-B,FST
13.16,12.19,14.6,8.63,SM-B,FST
10.0,11.52,11.1,16.36,Eco-Gestion,Faculté (Licence Fondamentale)
10.85,12.98,16.82,13.29,SM-A,Faculté (Licence Fondamentale)
10.0,18.06,14.14,9.0,SM-B,ENSA / ENSAM
15.93,13.57,12.42,14.43,SM-A,FST
10.0,18.95,13.87,14.89,SM-B,ENSA / ENSAM
16.46,7.43,11.54,15.01,SVT,FST
17.16,7.66,10.39,15.15,SVT,FST
12.09,8.13,18.67,14.06,PC,FST
10.0,14.15,9.76,7.83,SVT,Faculté (Licence Fondamentale)
11.92,17.07,14.83,13.1,SM-A,ENSA / ENSAM
12.81,15.26,13.29,18.76,Eco-Gestion,ENSA / ENSAM
10.0,14.31,14.62,12.43,PC,ENSA / ENSAM
11.45,16.83,17.03,8.6,SM-B,ENSA / ENSAM
17.59,12.03,15.83,12.28,SVT,FST
14.99,15.86,16.99,15.87,PC,CPGE (Prépas)
10.23,9.57,8.58,13.06,SVT,Faculté (Licence Fondamentale)
10.0,10.94,15.46,13.76,PC,Faculté (Licence Fondamentale)
12.02,19.57,15.81,14.88,SM-A,ENSA / ENSAM
12.36,18.33,13.07,12.5,SM-A,ENSA / ENSAM
14.49,20.0,14.84,16.35,SM-B,CPGE (Prépas)
11.39,15.93,13.04,13.93,PC,ENSA / ENSAM
14.53,12.44,11.99,10.74,Eco-Gestion,ENCG
18.81,13.77,14.05,12.71,SM-A,ENSA / ENSAM
15.45,18.37,18.63,17.19,SM-B,CPGE (Prépas)
12.86,15.72,13.99,11.77,PC,ENSA / ENSAM
12.45,16.42,13.74,14.73,SM-B,ENSA / ENSAM
11.93,17.44,16.07,16.08,SM-A,ENSA / ENSAM
16.54,14.19,16.87,10.91,SM-B,ENSA / ENSAM
11.12,12.12,17.06,16.65,PC,FST
13.14,13.46,11.06,13.93,SVT,FST
13.15,12.41,7.62,9.27,Eco-Gestion,ENCG
11.49,15.84,15.16,13.03,SM-A,ENSA / ENSAM
10.0,15.35,15.57,14.69,PC,ENSA / ENSAM
13.97,13.71,19.65,13.24,PC,ENSA / ENSAM
12.82,20.0,15.7,12.36,SM-B,ENSA / ENSAM
14.5,14.2,12.11,10.03,SM-A,FST
11.4,9.36,12.18,11.42,SVT,FST
16.66,12.56,14.85,12.74,SVT,FST
10.37,18.24,7.47,12.55,Eco-Gestion,Faculté (Licence Fondamentale)
18.14,10.38,13.81,6.28,Eco-Gestion,ENCG
10.0,13.11,14.79,17.65,SM-B,ENSA / ENSAM
14.3,16.45,12.3,9.41,SM-A,CPGE (Prépas)
14.43,17.02,9.14,10.17,SVT,CPGE (Prépas)
10.61,18.95,17.02,16.82,SM-A,ENSA / ENSAM
14.27,14.1,11.95,13.4,SM-B,FST
16.84,16.67,15.73,17.43,SM-A,Medecine / Pharmacie
10.0,12.53,16.72,9.71,SM-A,Faculté (Licence Fondamentale)
14.51,17.71,14.05,10.56,SM-A,CPGE (Prépas)
10.0,14.78,12.11,13.12,SM-B,Faculté (Licence Fondamentale)
10.1,14.45,16.57,14.92,SM-B,ENSA / ENSAM
17.89,19.38,15.73,14.56,SM-B,Medecine / Pharmacie
11.25,16.2,9.12,8.54,SVT,FST
10.0,14.4,13.15,20.0,PC,ENSA / ENSAM
12.41,18.91,19.33,13.19,SM-A,ENSA / ENSAM
19.2,13.65,9.62,15.65,Eco-Gestion,ENCG
10.0,8.35,3.37,10.63,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,11.09,18.96,18.45,PC,Faculté (Licence Fondamentale)
17.49,13.19,17.58,15.85,SM-A,ENSA / ENSAM
18.57,12.86,14.22,11.26,SM-A,FST
12.69,17.5,12.54,12.7,SM-A,FST
10.0,14.63,15.95,12.35,SM-B,ENSA / ENSAM
19.29,10.39,10.36,19.11,SVT,FST
17.78,15.17,12.92,14.75,SM-B,CPGE (Prépas)
15.04,15.71,12.17,19.69,SM-A,CPGE (Prépas)
10.56,13.3,15.24,13.48,PC,ENSA / ENSAM
12.85,19.46,11.64,13.83,SM-A,FST
12.52,20.0,15.26,9.29,SM-A,ENSA / ENSAM
13.99,10.14,11.62,16.99,SVT,FST
17.35,15.32,16.65,8.69,SM-A,CPGE (Prépas)
15.64,13.11,14.03,17.31,SM-B,ENSA / ENSAM
10.0,12.21,11.87,13.83,Eco-Gestion,Faculté (Licence Fondamentale)
17.13,15.33,9.17,15.06,SVT,CPGE (Prépas)
13.94,9.51,16.95,10.6,SVT,FST
15.06,9.35,12.65,13.24,SVT,FST
17.4,16.65,15.45,9.73,SM-A,Medecine / Pharmacie
10.0,16.84,13.68,17.08,SVT,ENSA / ENSAM
12.89,10.42,12.25,13.59,SVT,FST
11.41,18.26,17.32,13.58,SM-B,ENSA / ENSAM
10.0,10.96,19.56,14.67,PC,Faculté (Licence Fondamentale)
14.04,14.78,15.81,8.47,SM-B,ENSA / ENSAM
20.0,18.11,12.06,12.34,SM-B,CPGE (Prépas)
10.0,14.49,18.08,13.32,PC,ENSA / ENSAM
12.9,15.27,15.94,12.9,PC,ENSA / ENSAM
14.92,12.26,10.43,7.94,SVT,FST
13.37,14.46,15.49,12.25,SM-B,ENSA / ENSAM
12.66,15.69,14.35,10.41,SM-A,ENSA / ENSAM
10.0,10.52,10.08,13.02,Eco-Gestion,Faculté (Licence Fondamentale)
13.7,13.18,10.46,9.91,Eco-Gestion,ENCG
10.73,7.81,18.79,9.61,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,14.96,16.03,14.08,SM-B,ENSA / ENSAM
16.58,15.04,15.11,13.72,PC,CPGE (Prépas)
15.88,12.18,10.06,13.74,SVT,FST
13.15,15.17,10.93,12.95,SVT,FST
13.69,15.2,13.88,17.75,Eco-Gestion,ENSA / ENSAM
16.22,6.73,13.72,14.8,SVT,FST
13.67,14.23,15.5,16.15,SM-A,ENSA / ENSAM
15.71,14.34,15.89,15.61,SM-A,ENSA / ENSAM
12.11,11.86,15.72,13.9,PC,FST
16.94,9.61,8.36,12.59,SVT,FST
13.96,17.6,16.29,10.42,SM-B,ENSA / ENSAM
13.58,13.96,8.49,8.17,SVT,FST
10.0,15.27,17.25,14.97,SM-B,ENSA / ENSAM
13.86,12.0,9.75,11.83,Eco-Gestion,ENCG
10.5,16.22,12.86,11.96,SM-B,Faculté (Licence Fondamentale)
11.09,11.35,6.95,10.48,Eco-Gestion,FST
10.55,16.82,15.02,12.07,SM-A,ENSA / ENSAM
10.0,9.27,15.73,10.49,SVT,Faculté (Licence Fondamentale)
19.37,14.5,15.02,13.11,PC,ENSA / ENSAM
16.99,13.37,6.89,12.98,SVT,FST
18.76,15.57,16.28,12.61,Eco-Gestion,CPGE (Prépas)
10.0,12.13,17.63,16.4,SVT,Faculté (Licence Fondamentale)
13.21,12.77,14.76,15.87,PC,FST
10.0,8.97,14.26,14.0,Eco-Gestion,Faculté (Licence Fondamentale)
10.91,13.55,10.23,11.11,Eco-Gestion,Faculté (Licence Fondamentale)
10.25,16.92,15.51,11.77,PC,ENSA / ENSAM
16.72,11.76,11.58,9.91,SVT,FST
11.81,12.87,14.76,15.54,PC,FST
16.21,14.23,11.49,7.1,SM-B,FST
14.81,13.06,17.72,13.05,SM-A,ENSA / ENSAM
19.91,15.0,17.07,13.17,PC,Medecine / Pharmacie
10.0,11.78,14.13,13.44,Eco-Gestion,Faculté (Licence Fondamentale)
16.78,18.8,16.24,11.15,SM-B,Medecine / Pharmacie
16.44,15.01,13.55,16.65,SM-A,CPGE (Prépas)
10.08,13.19,14.4,13.96,PC,ENSA / ENSAM
16.02,15.81,15.59,18.67,SM-A,CPGE (Prépas)
14.01,14.74,11.08,8.77,SVT,FST
12.32,10.5,13.13,9.49,Eco-Gestion,ENCG
10.53,18.28,16.03,13.15,PC,ENSA / ENSAM
10.84,10.0,12.49,9.53,Eco-Gestion,Faculté (Licence Fondamentale)
19.15,20.0,17.63,15.95,SM-B,Medecine / Pharmacie
13.0,13.22,15.41,16.63,SM-B,ENSA / ENSAM
15.35,17.19,13.0,11.05,SM-A,CPGE (Prépas)
10.63,15.1,13.79,17.59,SM-B,ENSA / ENSAM
10.66,12.16,16.31,9.12,SM-B,Faculté (Licence Fondamentale)
16.25,12.08,11.98,11.35,PC,FST
10.0,16.53,11.79,9.4,Eco-Gestion,Faculté (Licence Fondamentale)
11.75,18.03,17.46,13.31,SM-A,ENSA / ENSAM
13.1,20.0,16.64,15.05,SM-B,ENSA / ENSAM
13.33,9.59,12.88,13.65,Eco-Gestion,ENCG
12.46,13.56,8.95,13.38,SVT,FST
14.19,12.37,11.71,15.99,PC,FST
15.08,13.0,15.21,14.0,SM-B,FST
15.2,16.65,14.43,13.81,SM-B,CPGE (Prépas)
10.04,16.94,16.47,18.2,SM-B,ENSA / ENSAM
12.15,12.7,11.19,10.28,Eco-Gestion,ENCG
16.58,14.87,17.33,12.42,PC,Medecine / Pharmacie
15.68,15.09,15.41,15.01,PC,CPGE (Prépas)
10.0,14.74,13.7,13.35,Eco-Gestion,ENSA / ENSAM
14.05,13.92,13.78,14.79,SM-A,ENSA / ENSAM
10.0,18.9,15.32,14.37,PC,ENSA / ENSAM
13.14,10.33,8.08,10.97,Eco-Gestion,ENCG
18.69,5.75,15.06,6.31,Eco-Gestion,ENCG
10.16,15.47,12.64,10.35,SM-B,Faculté (Licence Fondamentale)
10.5,16.13,11.6,10.1,Eco-Gestion,Faculté (Licence Fondamentale)
15.29,14.82,13.47,12.87,SM-B,ENSA / ENSAM
10.0,12.52,16.69,7.25,SVT,Faculté (Licence Fondamentale)
11.1,11.9,10.05,15.84,Eco-Gestion,FST
14.79,14.71,17.18,14.04,PC,ENSA / ENSAM
11.1,14.14,17.42,15.4,SM-B,ENSA / ENSAM
12.29,14.75,14.79,14.25,SVT,ENSA / ENSAM
15.23,18.96,15.76,12.34,SM-A,CPGE (Prépas)
14.26,15.99,14.95,11.44,SM-A,CPGE (Prépas)
13.8,19.26,15.59,13.28,SM-A,ENSA / ENSAM
11.98,16.78,20.0,9.6,SM-B,ENSA / ENSAM
14.11,9.46,6.86,12.3,Eco-Gestion,ENCG
12.63,16.49,14.07,11.38,SM-B,ENSA / ENSAM
14.37,16.28,14.0,13.93,SM-A,CPGE (Prépas)
11.51,15.34,13.03,15.64,Eco-Gestion,ENSA / ENSAM
12.45,15.26,11.85,12.52,SVT,FST
10.03,14.46,14.22,11.43,SM-A,ENSA / ENSAM
12.89,15.46,16.69,15.09,PC,ENSA / ENSAM
10.57,8.52,15.3,11.72,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,13.8,14.12,20.0,SM-B,ENSA / ENSAM
13.78,15.22,14.35,12.42,SM-B,ENSA / ENSAM
13.64,13.7,14.44,13.43,PC,ENSA / ENSAM
15.35,18.15,15.63,9.67,SM-B,CPGE (Prépas)
11.71,13.31,14.9,13.16,PC,ENSA / ENSAM
14.22,18.66,14.7,12.74,SM-A,CPGE (Prépas)
14.65,19.56,16.75,14.72,SM-A,CPGE (Prépas)
14.33,19.92,15.98,7.04,SM-B,CPGE (Prépas)
10.52,14.5,6.22,14.36,Eco-Gestion,Faculté (Licence Fondamentale)
13.45,12.57,14.07,11.91,SM-B,FST
14.09,14.46,14.3,16.1,SM-A,ENSA / ENSAM
13.02,9.86,12.64,10.1,Eco-Gestion,ENCG
10.0,13.62,16.65,10.01,PC,ENSA / ENSAM
13.48,13.38,15.98,16.37,SM-A,ENSA / ENSAM
19.64,13.84,15.09,13.47,PC,ENSA / ENSAM
11.92,12.17,11.73,5.42,SVT,FST
10.82,8.79,8.46,13.45,Eco-Gestion,Faculté (Licence Fondamentale)
14.12,16.37,16.27,13.77,SM-A,CPGE (Prépas)
13.94,11.4,18.89,16.82,PC,FST
16.58,11.48,16.67,11.21,PC,FST
10.0,14.28,18.11,19.39,PC,ENSA / ENSAM
15.19,17.5,15.59,11.98,SM-B,CPGE (Prépas)
14.77,16.36,17.72,12.87,SM-B,CPGE (Prépas)
12.57,9.34,6.14,14.54,SVT,FST
14.02,12.74,9.06,16.08,SVT,FST
16.09,13.16,15.73,12.95,PC,ENSA / ENSAM
15.62,15.3,15.47,16.45,SM-B,CPGE (Prépas)
10.0,8.57,12.47,13.52,Eco-Gestion,Faculté (Licence Fondamentale)
15.46,12.46,13.62,13.15,Eco-Gestion,ENCG
12.81,14.96,17.43,11.49,PC,ENSA / ENSAM
13.22,16.6,14.5,12.6,SM-B,ENSA / ENSAM
13.22,11.03,12.41,13.24,Eco-Gestion,ENCG
12.55,16.79,14.96,8.19,SM-B,ENSA / ENSAM
16.58,12.09,11.19,13.73,SVT,FST
12.75,12.81,13.61,14.87,PC,FST
10.0,13.45,16.34,12.16,PC,ENSA / ENSAM
11.82,15.99,14.1,10.1,SM-B,ENSA / ENSAM
13.54,16.95,13.79,13.49,SM-B,ENSA / ENSAM
16.69,16.82,13.83,9.39,SM-A,CPGE (Prépas)
14.81,19.28,9.42,14.87,Eco-Gestion,CPGE (Prépas)
10.45,17.82,13.37,12.1,SVT,ENSA / ENSAM
20.0,11.8,8.5,15.65,Eco-Gestion,ENCG
13.79,17.13,13.97,9.87,SM-A,ENSA / ENSAM
16.83,13.36,16.97,13.36,SM-B,ENSA / ENSAM
12.54,12.64,8.53,8.61,Eco-Gestion,ENCG
14.6,15.93,16.08,15.72,PC,CPGE (Prépas)
15.52,10.84,10.29,15.14,Eco-Gestion,ENCG
16.65,17.46,16.6,12.11,SM-B,Medecine / Pharmacie
16.17,13.84,14.33,12.69,Eco-Gestion,ENSA / ENSAM
15.62,14.97,17.69,11.04,SM-A,ENSA / ENSAM
12.05,13.89,10.82,7.48,SVT,FST
11.28,18.26,9.48,7.05,SM-B,FST
14.0,15.05,17.05,11.09,PC,ENSA / ENSAM
15.8,16.3,9.94,15.12,SM-A,CPGE (Prépas)
12.33,16.5,14.91,13.06,SM-B,ENSA / ENSAM
16.2,14.99,15.94,7.38,PC,ENSA / ENSAM
17.36,18.39,18.4,9.15,PC,Medecine / Pharmacie
10.25,15.31,14.53,16.24,SM-B,ENSA / ENSAM
10.49,11.68,14.0,7.72,SM-A,Faculté (Licence Fondamentale)
12.58,13.43,15.05,13.24,PC,ENSA / ENSAM
13.92,10.19,8.75,14.86,SVT,FST
11.43,16.91,16.1,12.47,SM-A,ENSA / ENSAM
17.06,12.86,15.76,14.5,PC,FST
14.27,11.65,15.79,13.93,SM-B,FST
13.12,16.12,14.7,5.3,SM-B,ENSA / ENSAM
10.0,15.12,18.58,13.04,SM-A,ENSA / ENSAM
10.0,13.39,16.03,14.06,PC,ENSA / ENSAM
13.84,15.32,15.54,14.27,PC,ENSA / ENSAM
10.0,19.35,17.01,20.0,SM-A,ENSA / ENSAM
16.04,14.69,18.35,10.63,SM-A,Medecine / Pharmacie
12.53,16.71,16.46,11.47,SM-A,ENSA / ENSAM
20.0,12.26,13.73,10.87,SVT,FST
19.92,17.01,6.85,18.82,SVT,CPGE (Prépas)
12.46,15.0,10.73,11.79,SVT,FST
12.68,14.99,14.73,12.85,SM-B,ENSA / ENSAM
15.99,15.77,16.91,13.6,SVT,CPGE (Prépas)
18.11,9.46,9.36,12.45,SVT,FST
10.0,8.91,7.46,19.29,SVT,Faculté (Licence Fondamentale)
10.0,14.61,14.33,15.45,PC,ENSA / ENSAM
11.13,8.46,7.71,10.59,Eco-Gestion,FST
14.75,16.96,10.24,5.67,SVT,CPGE (Prépas)
14.49,18.42,14.39,7.45,SM-A,CPGE (Prépas)
16.21,11.05,12.56,14.21,SVT,FST
10.0,17.4,8.44,13.14,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,14.6,11.92,15.66,SM-B,Faculté (Licence Fondamentale)
15.57,16.93,15.57,14.28,SM-B,CPGE (Prépas)
10.52,9.94,7.98,13.11,SVT,Faculté (Licence Fondamentale)
10.0,18.32,18.22,15.39,SM-A,ENSA / ENSAM
13.44,16.06,15.54,13.03,SM-A,ENSA / ENSAM
15.38,11.95,16.05,9.0,PC,FST
12.63,15.75,18.27,15.47,SM-A,ENSA / ENSAM
11.63,12.15,15.86,10.5,PC,FST
12.52,13.87,18.08,14.96,PC,ENSA / ENSAM
11.89,20.0,17.38,13.61,SM-A,ENSA / ENSAM
